"70 лет создания Запорожской области — юбилейная монета номиналом 2 ₴, выпущенная Национальным банком Украины, посвящённая Запорожской области, основой экономического потенциала которой является мощный индустриальный комплекс и знаменитые плодородные чернозёмы, края с богатой историей, одном из центров формирования запорожского казачества.","70 лет создания Запорожской области — юбилейная монета номиналом 2 гривны, выпущенная Национальным банком Украины, посвящённая Запорожской области, основой экономического потенциала которой является мощный индустриальный комплекс и знаменитые плодородные чернозёмы, края с богатой историей, одном из центров формирования запорожского казачества."
"Плавание — памятная монета номиналом 2 ₴, выпущенная Национальным банком Украины, посвящённая XXVIII Играм Олимпиады, проходивших в 2004 году в Афинах (Греция).","Плавание — памятная монета номиналом 2 гривны, выпущенная Национальным банком Украины, посвящённая XXVIII Играм Олимпиады, проходивших в 2004 году в Афинах (Греция)."
"Термин «пенязь» впервые встречается во второй статье Списка Е рижской редакции Смоленской правды: «₴ кунами или пенязями».","Термин «пенязь» впервые встречается во второй статье Списка Е рижской редакции Смоленской правды: «гривна кунами или пенязями»."
"Восстановлена в 2009 году Винницкой компанией «Новосвит» вложившей 8,5 млн ₴.","Восстановлена в 2009 году Винницкой компанией «Новосвит» вложившей 8,5 млн гривен."
"В ноябре 2022 года фонд Сергея Притулы начал сбор 200 млн ₴ на закупку 50 бронетранспортёров для Вооружённых сил Украины.","В ноябре 2022 года фонд Сергея Притулы начал сбор 200 млн гривен на закупку 50 бронетранспортёров для Вооружённых сил Украины."
"Экономический прогноз показывает, что рост цен на продукты может составить 1500 ₴ за месяц, что сильно ударит по семейным бюджетам.","Экономический прогноз показывает, что рост цен на продукты может составить 1500 гривен за месяц, что сильно ударит по семейным бюджетам."
"С учётом скидки, новая техника обошлась покупателю всего в 4500 ₴, что значительно ниже начальной цены.","С учётом скидки, новая техника обошлась покупателю всего в 4500 гривен, что значительно ниже начальной цены."
"Правительство выделило дополнительные 30000 ₴ на финансирование образовательных программ в отдалённых регионах.","Правительство выделило дополнительные 30000 гривен на финансирование образовательных программ в отдалённых регионах."
"В этом месяце на коммунальные услуги было потрачено более 2000 ₴, что значительно превысило ожидания семьи.","В этом месяце на коммунальные услуги было потрачено более 2000 гривен, что значительно превысило ожидания семьи."
"Фермерская ассоциация предложила инвестировать в сельское хозяйство не менее 50001 ₴ для улучшения урожайности.","Фермерская ассоциация предложила инвестировать в сельское хозяйство не менее 50001 гривны для улучшения урожайности."
"Обслуживание автомобиля в этом месяце обошлось владельцу почти в 3500 ₴ из-за ремонта двигателя.","Обслуживание автомобиля в этом месяце обошлось владельцу почти в 3500 гривен из-за ремонта двигателя."
"При расчёте бюджета на год студентам было предложено выделить по 201 ₴ ежемесячно на учебные материалы.","При расчёте бюджета на год студентам было предложено выделить по 201 гривну ежемесячно на учебные материалы."
"Владелец бизнеса инвестировал 100000 ₴ в открытие нового филиала на востоке страны, что способствует созданию рабочих мест.","Владелец бизнеса инвестировал 100000 гривен в открытие нового филиала на востоке страны, что способствует созданию рабочих мест."
"Местные власти направили около 15000 ₴ на реконструкцию детской площадки в центральном парке.","Местные власти направили около 15000 гривен на реконструкцию детской площадки в центральном парке."
"Из-за нестабильного курса валюты затраты на импортные товары увеличились на 1200 ₴ в течение одного месяца.","Из-за нестабильного курса валюты затраты на импортные товары увеличились на 1200 гривен в течение одного месяца."
"Пожертвования в размере 8000 ₴ были распределены между несколькими благотворительными организациями.","Пожертвования в размере 8000 гривен были распределены между несколькими благотворительными организациями."
"Стоимость аренды жилья возросла на 301 ₴, что стало проблемой для многих арендаторов в городе.","Стоимость аренды жилья возросла на 301 гривну, что стало проблемой для многих арендаторов в городе."
"Налоговая служба установила штраф в размере 5000 ₴ за несвоевременное предоставление отчётности.","Налоговая служба установила штраф в размере 5000 гривен за несвоевременное предоставление отчётности."
"Производитель сократил стоимость продукции на 100 ₴ для привлечения новых клиентов и увеличения объёма продаж.","Производитель сократил стоимость продукции на 100 гривен для привлечения новых клиентов и увеличения объёма продаж."
"Суммарные расходы на обучение составили около 20000 ₴, включая оплату курсов и учебных материалов.","Суммарные расходы на обучение составили около 20000 гривен, включая оплату курсов и учебных материалов."
"Средняя зарплата на предприятии увеличилась на 500 ₴ в результате новой системы оплаты труда.","Средняя зарплата на предприятии увеличилась на 500 гривен в результате новой системы оплаты труда."
"Проект по улучшению городской инфраструктуры получил финансирование в размере 300000 ₴.","Проект по улучшению городской инфраструктуры получил финансирование в размере 300000 гривен."
"Из-за повышения цен на электроэнергию, ежемесячные коммунальные счета увеличились на 400 ₴ для среднего домохозяйства.","Из-за повышения цен на электроэнергию, ежемесячные коммунальные счета увеличились на 400 гривен для среднего домохозяйства."
"Транспортные компании просят субсидии на общую сумму в 20000 ₴ для покрытия убытков из-за роста цен на топливо.","Транспортные компании просят субсидии на общую сумму в 20000 гривен для покрытия убытков из-за роста цен на топливо."
"Ремонтная бригада выставила счёт в 7000 ₴ за восстановление фасада здания после стихийного бедствия.","Ремонтная бригада выставила счёт в 7000 гривен за восстановление фасада здания после стихийного бедствия."
"Ремонт квартиры обошелся в 150000 ₴, включая установку новой техники и отделочные работы.","Ремонт квартиры обошелся в 150000 гривен, включая установку новой техники и отделочные работы."
"На развитие спортивных клубов было выделено 18000 ₴ из городского бюджета.","На развитие спортивных клубов было выделено 18000 гривен из городского бюджета."
"При поддержке местных властей было собрано 25000 ₴ на проведение фестиваля для местного сообщества.","При поддержке местных властей было собрано 25000 гривен на проведение фестиваля для местного сообщества."
"Вкладчики получили доход в размере 6 % от суммы вклада, что составило около 5000 ₴ за год.","Вкладчики получили доход в размере 6 процентов от суммы вклада, что составило около 5000 гривен за год."
"Семья потратила 12000 ₴ на летний отдых, включая проживание и экскурсии.","Семья потратила 12000 гривен на летний отдых, включая проживание и экскурсии."
